,Parent location,Green house gases emissions per capita (tonnes CO2e) (2012),Obesity rate of adult (2016),Pm2.5ug/m3 (2019),Mean BMI 18+years (2016),life expectancy at birth (2019),Daily smoking prevalence (2012),Vegetable consumption-per-capita (2019),Poultry kgpercapita(2019),Beef kgpercapit(2019),Sheep & goat Kgpercapita(2019),Pig Kgpercapita(2019),Other meat Kgpercapita(2019),Fish & seafood Kgpercapita (2019),Fruit Kgpercapita (2019),Median age (2019),Share without improved water (2019),"Alcohol consumption per capita (liters of pure alcohol, 15+ years of age) (2018) ",Lung cancer ASR Incidence (2022)
0,0.4000000000000001,0.0,0.0752212389380531,0.9884403036576951,0.24137931034482718,0.3718293046851684,0.24855489892746252,0.1488418040120955,0.019395199014576515,0.06024148507408231,0.1397306377151366,0.00018444017155871026,0.007195861597930292,0.0,0.09662000981915417,0.05722891566265059,0.4806070826306914,0.012673345638172386,0.14668833807395368
2,0.0,0.03601156575834574,0.5597345132743364,0.3015873015873016,0.4224137931034482,0.7872276932259021,0.22832368622406435,0.5391968832653254,0.08823288297861931,0.11284672934241435,0.3290585157667957,0.0003692220453850929,0.007899545835166093,0.04112460437223187,0.3022179270582075,0.39156626506024084,0.01386546749109987,0.06177426708421992,0.21576594880130032
3,0.0,0.009375273810566897,0.1349557522123894,0.3788819875776398,0.23275862068965503,0.36735302894658295,0.1560693493601532,0.04436366834182584,0.1336799484184424,0.093484840452624,0.0322264962218758,0.13906037077003358,0.007254402045186758,0.16396185209264022,0.18642015953278884,0.05120481927710846,0.6338767097620386,0.45922632787993495,0.04510361641609103
4,0.6000000000000001,0.032243932357837554,0.40044247787610626,0.4991373360938579,0.4913793103448276,0.7544016711429422,0.6763005678438978,0.5925297732976686,0.27608235048905044,0.6193375126637111,0.135720238823752,0.17205234732244595,0.0019333396849022606,0.06310768834986388,0.3160666315970048,0.5813253012048193,0.0005621135469364812,0.3669962268676561,0.5469321414059326
5,1.0000000000000002,0.28826776482958033,0.5951327433628318,0.06435472739820568,0.5603448275862071,0.963592957326171,0.37572249273280384,0.2121699298868448,0.701945823226179,0.6308810057732009,0.38070020054057213,0.5190876241811232,0.0206157546472812,0.27965075338123435,0.17479575543624074,0.6626506024096385,0.0005621135469364812,0.6961051106662011,0.49613978057700125
6,0.6000000000000001,0.0888460527468676,0.3982300884955753,0.10886818495514149,0.4310344827586208,0.9221128021486122,0.7514450143673401,0.2532972113261517,0.22052664775849917,0.3913015345061277,0.04731475761333826,0.8622248033215951,0.013712423590464479,0.16548594672632153,0.23840117905708313,0.8433734939759036,0.0,0.7923163637035348,0.5266151970743601
7,0.6000000000000001,0.04810304039253484,0.39380530973451333,0.3354037267080746,0.5603448275862071,0.6171292151596539,0.552023089478434,0.46828433166136146,0.19974111022963273,0.2934218700266884,0.3300303985888467,0.00988948367139273,0.0,0.019340323245639095,0.23346539068083677,0.4879518072289156,0.06651676972081694,0.291354243473422,0.26655830963023164
8,0.2,0.10943660737755191,0.6526548672566372,0.0,0.6379310344827587,0.6702476872575347,0.19653178054729592,0.24174045719414786,0.7405178229010002,0.15334581907471176,0.0642482292836153,0.4299787595233484,0.0024405825246029958,0.2714093692654585,0.3722093876390847,0.5240963855421686,0.020798201236649806,0.3159047284203496,0.14465664364079645
9,0.4000000000000001,0.21615701393148165,0.6128318584070797,0.8043478260869567,0.3620689655172413,0.74783646672635,0.4537571992047862,0.32759594039577894,0.6708913806330609,0.2610459501945996,1.0,0.016291742246471567,0.018984945537140155,0.21294071412067825,0.2587665523511291,0.5060240963855421,0.0,0.07106363367412168,0.2198293376676148
10,0.8,0.0051695435030228686,0.033185840707964605,0.70376121463078,0.09482758620689635,0.701283199045061,0.552023089478434,0.0860158838962406,0.015962718066775832,0.02267244995119948,0.05697498731403524,0.0,0.0,0.3071408105361521,0.06674799176000791,0.3343373493975903,0.023796140153644372,0.0,0.17513206013815524
11,0.2,0.04275825812669763,0.4646017699115045,0.07919254658385093,0.6206896551724139,0.7544016711429422,0.07803467757024986,0.17286365771698778,0.7194956878795444,0.253540077445461,0.1474969558133671,0.17051200440719017,0.0014164717292727172,0.5109471547969412,0.18883592310791153,0.72289156626506,0.02285928424208357,0.6416959380722735,0.2035757822023568
12,0.6000000000000001,0.096381319547884,0.49557522123893816,0.17736369910282956,0.517241379310345,0.7179946284691137,0.6820808854288505,0.39648443829157837,0.3857826488540531,0.46561784648053395,0.00474238953341778,0.6843928349905466,0.005404441452108779,0.13122832945121077,0.18681659994104033,0.7620481927710844,0.0022484541877459247,0.7584765240314773,0.4758228362454287
13,0.6000000000000001,0.09988609480417068,0.44247787610619477,0.10455486542443067,0.4741379310344829,0.9152491793494475,0.6589594994821099,0.34040077541557456,0.17617776220312073,0.3467994535898497,0.04662940003577066,0.5802892654360795,0.04505263943410748,0.2635346595824812,0.2865031500824684,0.7921686746987951,0.0,0.7339260707239329,0.7602600568874441
